用户名,时间,评论内容
RRI846346729,2026/1/1,水特别臭，服务态度差
匿名用户,2025/8/17,"计划着漂流，到地方搁那看票，看个豫西大峡谷漂流官方号直播，前两天叫踢出直播间了，真有本事啊，有问题你们豫西大峡谷漂流就整改，你欺负这些实事求是的老实人，老实人还 <span class=""feedbackmore"">不能发表一下自己想表达的，自驾一进来先收10元停车费，还摔脸色，我交这10块，是看你们工作人员的脸色吗？还有检票态度不好，线上买个票还要等两个小时才能进去，进去黄花菜都凉透了，漂流师傅给船态度也不好，不是以上问题发生了，我才说这么多是真气人，宣传那么好，地铁广告，广告牌，见那么地方宣传，想着支持一下，到最后真是一整个支持住了，要啥没啥，什么玩意，特意跑几百公里就是去看工作人员丧个脸，摔脸给我们看，到最后还要漂流完一个人是20元回到售票处，豫西大峡谷漂流真是把钱挣得明明白白的，没有漂上先出10块，漂完还要一个人掏20坐回售票处，还不允许私家车到终点接，就是非得挣这每个人20的车费，也不在说了，已经没有意思了，如果想漂流可以去河南尧山漂流，便宜划算公交车还不收费，车还可以停到下游，洗完澡开开心心回家，还有姜茶。真舒服，憋心里好几天了，这刷住豫西大峡谷漂流官方我就生气，已屏蔽，垃圾垃圾垃圾。 <i class=""text-icon icon-toggle-arrow"">"
匿名用户,2025/7/28,购买大峡谷+松鹿谷套票的家庭，请仔细浏览下图
匿名用户,2025/9/1,不错，很刺激，就是洗澡那个地方卖的东西有点贵了
匿名用户,2025/8/13,好玩 时间很长 项目也很多 开车很方便 和女友去的 很喜欢一次的漂流
肃竹x,2025/8/17,干好玩
W我不吃只是看看,2025/8/4,很早以前和朋友们一起去的，太好玩了！每年都会去一次✌️
040123.,2025/8/2,给你的排队问题解决好可以吗，我都没见过这样的景区
九畋,2025/7/19,差评！排队制度有大问题，十几个人能排一个小时进不去，十几个人里只有一个人有头盔
辽辽橙子,2025/6/26,不好，进去走了没一公里，啥也没有，水臭烘烘的，不好，白瞎了我的钱
匿名用户,2025/5/4,垃圾垃圾，超级垃圾，大老远跑过来了，网上订的票到检票口不能用，又退了，必须现场买贵的，体验感一点都不好，再也不来了，赶紧避坑避坑。
美食品鉴师拉拉95,2025/2/26,老师热情
z噼里啪啦l,2025/2/19,好好玩，风景特别美，累并快乐着，没有白来
njauck,2025/1/19,交通方便，游玩的人很多，非常值得去
墨,2025/1/17,可以
lili454120,2024/11/14,天气冷没玩漂流，等明年再去玩漂流，路线挺长的
CSS里里,2024/12/2,还可以跟朋友一起玩的，全程大概一个多小时，不到两个小时出来了。就是安全服跟安全帽太脏了，而且味道很大
JpJ272419815,2024/11/5,风景秀丽，漂流过程惊险刺激。
kGC498708284,2024/6/22,"首先先说下不好的，漂流票180，寄放东西一个箱子10块，停车费5块，漂流到钟点坐车一个人20，全程下来硬性收费215，一个水瓢5块，从运城上高速来过路费一来回1 <span class=""feedbackmore"">30，油费300，真是干个啥都是收费的。最重要的是洗浴地方没有吹风机，女生的长头发你让人就这么晾着？ 再说下环境，漂流的有两三个隧道，隧道减速带非常硌脚（水下都是石头），除去两个几百米的隧道，其他的真的一点也不刺激！！！！性价比不高！！ 再说下门票，180带车票钱200，真的很垃圾，想钱想疯了！ 相比我去年去的望仙大峡谷真的没法比！没法比！人家虽然是大澡堂子没隔间但是人家有吹风机！！人家有空调大厅！！门票才100出头带车费，还没走停车费😡😡😡😡😡🤬🤬🤬🤬🤬不会再来了，差评差评😡😡想钱想疯了！ <i class=""text-icon icon-toggle-arrow"">"
